Fuori,Id,Nome,Squadra,R,RM,Qt.I,Qt.A,Qt.I M,Qt.A M,FVM,FVM M,Trasferimento
0,4751,Tomori,MIL,D,DC,7,7,7,7,8,8,
0,4856,Chukwueze,MIL,C,W,6,7,5,6,22,20,Fulham -> Milan (Fine Prestito)
0,2741,Pessina,MON,C,M;C,7,7,8,8,15,20,
0,2724,Buongiorno,NAP,D,DC,7,7,7,7,15,15,
0,7411,Daffara,PAR,P,POR,7,7,7,7,10,10,Juventus -> Parma (Definitivo)
1,6641,Suzuki,PAR,P,POR,7,7,7,7,20,20,Parma -> Aston Villa (Definitivo)
0,6666,Bernabè,PAR,C,C,7,7,7,7,35,35,
0,6190,Pisilli,ROM,C,C,5,7,5,7,17,17,
0,4236,Muric,SAS,P,POR,7,7,7,7,15,15,
0,6672,Idzes,SAS,D,DC,7,7,7,7,19,19,
0,6642,Coco,TOR,D,DC,7,7,7,7,14,14,
0,5010,Ismajli,TOR,D,DC,7,7,7,7,13,13,
0,6218,Oristanio,TOR,C,W;T,7,7,7,7,12,14,Venezia -> Torino (Prestito con Diritto Riscatto)
0,608,Zapata D.,TOR,A,PC,7,7,6,6,18,16,
0,6485,Kristensen T.,ATA,D,DD;DC,7,7,8,8,20,22,Udinese -> Atalanta (Prestito con obbligo condizionato)
0,6680,Karlstrom,UDI,C,M;C,6,7,7,8,20,23,
0,6783,Unai Gomez,UDI,C,T,7,7,6,6,17,15,Athletic Bilbao -> Udinese (Definitivo)
0,5946,Sow,GEN,C,M;C,7,7,8,8,15,20,Siviglia -> Genoa (Definitivo)
0,4479,Elmas,ATA,C,W;T,7,7,7,7,28,28,Napoli -> Lipsia (Fine Prestito)
0,4664,Badiashile,NAP,D,DC,7,7,7,7,21,21,Chelsea -> Napoli (Prestito con Diritto Riscatto)
0,7580,Sutalo J.,LAZ,D,DC,7,7,7,7,19,19,Ajax -> Lazio (Prestito con Diritto Riscatto)
0,6916,Ahanor,ATA,D,B;DS;E,6,6,7,7,14,16,
0,4887,Bellanova,ATA,D,DD;E,6,6,6,6,17,17,
0,7219,Bernasconi,ATA,D,DS;E,6,6,6,6,18,18,
0,5422,Zalewski,ATA,C,W,6,6,5,5,20,17,
0,5918,Sulemana K.,ATA,A,A,6,6,6,6,10,10,
0,7212,Heggem,BOL,D,DS;DC,6,6,7,7,15,17,
0,4433,Zortea,BOL,D,DD;E,6,6,6,6,19,19,
0,5298,Pobega,BOL,C,M;C,6,6,7,7,13,16,
0,4260,Winks,CAG,C,M;C,6,6,7,7,15,20,Leicester -> Cagliari (Definitivo)
0,6598,Mutandwa,CAG,A,PC,6,6,6,6,10,10,Sv Ried -> Cagliari (Fine Prestito)
0,6867,Valle,COM,D,DS;E,6,6,6,6,21,21,
0,7412,Milla,COM,C,M;C,5,6,5,6,20,25,Getafe -> Como (Definitivo)
0,5036,Caqueret,COM,C,C;T,6,6,6,6,17,17,
0,6678,Liberali,COM,C,T,6,6,5,5,21,20,Catanzaro -> Como (Definitivo)
0,7294,Valdepenas,FIO,D,DS;DC,6,6,7,7,18,20,Real Madrid -> Fiorentina (Definitivo)
0,7410,Viery,FIO,D,DS;DC,6,6,7,7,17,19,Gremio -> Fiorentina (Definitivo)
0,7464,Oulai,FIO,C,M;C,6,6,7,7,20,22,Trabzonspor -> Fiorentina (Definitivo)
0,4952,Monterisi,FRO,D,DC,6,6,6,6,13,13,
0,6660,Marcandalli,GEN,D,DC,6,6,6,6,14,14,
0,6020,Ellertsson,GEN,C,E;C,6,6,7,7,18,21,
0,4177,Pavard,INT,D,DD;DC,6,6,7,7,14,16,
